timestamps,TP9,AF7,AF8,TP10
1621565073.401,-34.180,-29.785,-21.973,-16.113
1621565073.405,-32.715,-26.367,-19.531,-23.926
1621565073.409,-64.453,-27.832,-17.090,-46.875
1621565073.413,-55.176,-30.273,-20.508,-49.316
1621565073.417,-27.832,-29.785,-22.461,-16.602
1621565073.421,-19.043,-25.391,-21.973,1.465
1621565073.424,-41.016,-27.344,-20.020,-29.785
1621565073.428,-52.246,-33.203,-19.531,-37.598
1621565073.432,-37.598,-36.621,-23.926,-20.508
1621565073.436,-6.348,-28.809,-20.996,2.441
1621565073.440,-27.344,-23.926,-21.973,-26.367
1621565073.444,-54.199,-30.273,-29.297,-40.039
1621565073.448,-38.086,-31.250,-29.297,-37.109
1621565073.452,-6.348,-23.926,-24.902,-14.648
1621565073.456,-9.277,-20.020,-27.344,-14.648
1621565073.460,-51.270,-24.414,-29.297,-50.293
1621565073.464,-53.223,-23.438,-25.391,-41.504
1621565073.468,-17.578,-24.414,-21.484,0.488
1621565073.472,-7.324,-28.320,-18.066,-0.977
1621565073.476,-42.480,-25.879,-20.996,-38.574
1621565073.480,-46.875,-20.996,-19.531,-44.434
1621565073.484,-19.043,-26.855,-18.066,-21.484
1621565073.488,-13.672,-32.227,-20.508,-11.719
1621565073.492,-47.363,-26.367,-24.414,-45.410
1621565073.495,-46.875,-26.367,-28.320,-53.711
1621565073.499,-20.508,-27.832,-24.414,-28.809
1621565073.503,1.953,-25.879,-22.949,-4.883
1621565073.507,-24.414,-28.320,-26.367,-29.785
1621565073.511,-58.594,-31.738,-29.297,-48.828
1621565073.515,-42.969,-29.297,-29.297,-37.109
1621565073.519,-13.184,-32.227,-26.855,-17.578
1621565073.523,-26.367,-33.691,-22.949,-24.414
1621565073.527,-48.340,-35.156,-25.391,-50.293
1621565073.531,-38.574,-33.203,-28.809,-41.016
1621565073.535,-14.160,-25.391,-28.320,-12.207
1621565073.539,-8.789,-20.996,-30.762,-10.742
1621565073.543,-37.598,-19.531,-29.297,-41.504
1621565073.547,-43.945,-23.926,-23.438,-42.969
1621565073.551,-21.484,-25.879,-23.438,-17.578
1621565073.555,-1.465,-23.438,-26.367,-2.930
1621565073.559,-30.273,-25.391,-29.785,-28.809
1621565073.563,-49.805,-26.367,-29.785,-50.781
1621565073.566,-31.738,-26.367,-28.809,-38.574
